Código Município Completo,REGIÃO DE PLANEJAMENTO,regiao_upp,lote,Nome_Município,mun_upp,qtd_cozinhas
2306900,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 40,Jaguaribe,JAGUARIBE,3
2307007,Litoral Leste,LITORAL LESTE,Lote 17,Jaguaruana,JAGUARUANA,5
2307106,Cariri,CARIRI,Lote 23,Jardim,JARDIM,2
2307205,Cariri,CARIRI,Lote 24,Jati,JATI,3
2307254,Litoral Norte,LITORAL NORTE,Lote 19,Jijoca de Jericoacoara,JIJOCA DE JERICOACOARA,3
2307304,Cariri,CARIRI,Lote 22,Juazeiro do Norte,JUAZEIRO DO NORTE,24
2307403,Centro Sul,CENTRO SUL,Lote 27,Jucás,JUCÁS,4
2307502,Cariri,CARIRI,Lote 24,Lavras da Mangabeira,LAVRAS DA MANGABEIRA,5
2307601,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 39,Limoeiro do Norte,LIMOEIRO DO NORTE,4
2307635,Sertão de Canindé,SERTÃO DE CANINDÉ,Lote 32,Madalena,MADALENA,7
2307650,Grande Fortaleza,GRANDE FORTALEZA,Lote 13,Maracanaú,MARACANAÚ,28
2307650,Grande Fortaleza,GRANDE FORTALEZA,Lote 8,Maracanaú,MARACANAÚ,1
2307700,Grande Fortaleza,GRANDE FORTALEZA,Lote 14,Maranguape,MARANGUAPE,14
2307809,Litoral Norte,LITORAL NORTE,Lote 19,Marco,MARCO,1
2307908,Litoral Norte,LITORAL NORTE,Lote 18,Martinópole,MARTINÓPOLE,1
2308005,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 35,Massapê,MASSAPÊ,7
2308104,Cariri,CARIRI,Lote 24,Mauriti,MAURITI,8
2308203,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 35,Meruoca,MERUOCA,5
2308302,Cariri,CARIRI,Lote 24,Milagres,MILAGRES,3
2308351,Sertão Central,SERTÃO CENTRAL,Lote 31,Milhã,MILHÃ,3
2308377,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Lote 20,Miraíma,MIRAÍMA,4
2308401,Cariri,CARIRI,Lote 23,Missão Velha,MISSÃO VELHA,3
2308500,Sertão Central,SERTÃO CENTRAL,Lote 31,Mombaça,MOMBAÇA,4
2308609,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Lote 37,Monsenhor Tabosa,MONSENHOR TABOSA,5
2308708,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 39,Morada Nova,MORADA NOVA,8
2308807,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 34,Moraújo,MORAÚJO,2
2308906,Litoral Norte,LITORAL NORTE,Lote 19,Morrinhos,MORRINHOS,3
2309003,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 34,Mucambo,MUCAMBO,1
2309102,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Mulungu,MULUNGU,1
2309201,Cariri,CARIRI,Lote 25,Nova Olinda,NOVA OLINDA,3
2309300,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Lote 37,Nova Russas,NOVA RUSSAS,3
2309409,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Lote 36,Novo Oriente,NOVO ORIENTE,4
2309458,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Ocara,OCARA,3
2309508,Centro Sul,CENTRO SUL,Lote 27,Orós,ORÓS,2
2309607,Grande Fortaleza,GRANDE FORTALEZA,Lote 15,Pacajus,PACAJUS,8
2309706,Grande Fortaleza,GRANDE FORTALEZA,Lote 14,Pacatuba,PACATUBA,9
2309805,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Pacoti,PACOTI,2
2309904,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 34,Pacujá,PACUJÁ,3
2310001,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 39,Palhano,PALHANO,2
2310100,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Palmácia,PALMÁCIA,2
2310209,Grande Fortaleza,GRANDE FORTALEZA,Lote 16,Paracuru,PARACURU,5
2310258,Grande Fortaleza,GRANDE FORTALEZA,Lote 16,Paraipaba,PARAIPABA,5
2310308,Sertão dos Inhamuns,SERTÃO DOS INHAMUNS,Lote 38,Parambu,PARAMBU,5
2310407,Sertão de Canindé,SERTÃO DE CANINDÉ,Lote 32,Paramoti,PARAMOTI,2
2310506,Sertão Central,SERTÃO CENTRAL,Lote 31,Pedra Branca,PEDRA BRANCA,4
2310605,Cariri,CARIRI,Lote 24,Penaforte,PENAFORTE,3
2310704,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Lote 21,Pentecoste,PENTECOSTE,6
2310803,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 40,Pereiro,PEREIRO,2
2310852,Grande Fortaleza,GRANDE FORTALEZA,Lote 15,Pindoretama,PINDORETAMA,5
2310902,Sertão Central,SERTÃO CENTRAL,Lote 31,Piquet Carneiro,PIQUET CARNEIRO,2
2310951,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 34,Pires Ferreira,PIRES FERREIRA,2
2311009,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Lote 37,Poranga,PORANGA,2
2311108,Cariri,CARIRI,Lote 24,Porteiras,PORTEIRAS,3
2311207,Cariri,CARIRI,Lote 25,Potengi,POTENGI,2
2311231,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 40,Potiretama,POTIRETAMA,2
2311264,Sertão dos Inhamuns,SERTÃO DOS INHAMUNS,Lote 38,Quiterianópolis,QUITERIANÓPOLIS,4
2311306,Sertão Central,SERTÃO CENTRAL,Lote 30,Quixadá,QUIXADÁ,11
2311355,Centro Sul,CENTRO SUL,Lote 26,Quixelô,QUIXELÔ,4
2311405,Sertão Central,SERTÃO CENTRAL,Lote 30,Quixeramobim,QUIXERAMOBIM,12
2311504,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 39,Quixeré,QUIXERÉ,1
2311603,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Redenção,REDENÇÃO,4
2311702,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 34,Reriutaba,RERIUTABA,2
2311801,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 39,Russas,RUSSAS,4
2311900,Centro Sul,CENTRO SUL,Lote 27,Saboeiro,SABOEIRO,3
2311959,Cariri,CARIRI,Lote 25,Salitre,SALITRE,3
2312007,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 35,Santana do Acaraú,SANTANA DO ACARAÚ,6
2312106,Cariri,CARIRI,Lote 25,Santana do Cariri,SANTANA DO CARIRI,4
2312205,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Lote 37,Santa Quitéria,SANTA QUITÉRIA,8
2312304,Serra da Ibiapaba,SERRA DA IBIAPABA,Lote 29,São Benedito,SÃO BENEDITO,9
2312403,Grande Fortaleza,GRANDE FORTALEZA,Lote 16,São Gonçalo do Amarante,SÃO GONÇALO DO AMARANTE,7
2312502,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 39,São João do Jaguaribe,SÃO JOÃO DO JAGUARIBE,2
2312601,Grande Fortaleza,GRANDE FORTALEZA,Lote 16,São Luís do Curu,SÃO LUÍS DO CURU,3
2312700,Sertão Central,SERTÃO CENTRAL,Lote 31,Senador Pompeu,SENADOR POMPEU,9
2312809,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 35,Senador Sá,SENADOR SÁ,2
2312908,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 33,Sobral,SOBRAL,23
2313005,Sertão Central,SERTÃO CENTRAL,Lote 31,Solonópole,SOLONÓPOLE,5
2313104,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 39,Tabuleiro do Norte,TABULEIRO DO NORTE,2
2313203,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Lote 37,Tamboril,TAMBORIL,7
2313252,Cariri,CARIRI,Lote 25,Tarrafas,TARRAFAS,2
2313302,Sertão dos Inhamuns,SERTÃO DOS INHAMUNS,Lote 38,Tauá,TAUÁ,6
2313351,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Lote 21,Tejuçuoca,TEJUÇUOCA,3
2313401,Serra da Ibiapaba,SERRA DA IBIAPABA,Lote 29,Tianguá,TIANGUÁ,10
2313500,Grande Fortaleza,GRANDE FORTALEZA,Lote 16,Trairi,TRAIRI,5
2313559,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Lote 20,Tururu,TURURU,3
2313609,Serra da Ibiapaba,SERRA DA IBIAPABA,Lote 29,Ubajara,UBAJARA,5
2313708,Centro Sul,CENTRO SUL,Lote 27,Umari,UMARI,1
2313757,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Lote 21,Umirim,UMIRIM,2
2313807,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Lote 21,Uruburetama,URUBURETAMA,6
2313906,Litoral Norte,LITORAL NORTE,Lote 18,Uruoca,URUOCA,2
2313955,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 34,Varjota,VARJOTA,3
2314003,Cariri,CARIRI,Lote 22,Várzea Alegre,VÁRZEA ALEGRE,8
2314102,Serra da Ibiapaba,SERRA DA IBIAPABA,Lote 29,Viçosa do Ceará,VIÇOSA DO CEARÁ,7
