Código Município Completo,Nº LOTE 2025,REGIÃO DE PLANEJAMENTO,regiao_upp,Nome_Município,mun_upp
2310100,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Palmácia,PALMÁCIA
2310209,LOTE 16,Grande Fortaleza,GRANDE FORTALEZA,Paracuru,PARACURU
2310258,LOTE 16,Grande Fortaleza,GRANDE FORTALEZA,Paraipaba,PARAIPABA
2310308,LOTE 38,Sertão dos Inhamuns,SERTÃO DOS INHAMUNS,Parambu,PARAMBU
2310407,LOTE 32,Sertão de Canindé,SERTÃO DE CANINDÉ,Paramoti,PARAMOTI
2310506,LOTE 31,Sertão Central,SERTÃO CENTRAL,Pedra Branca,PEDRA BRANCA
2310605,LOTE 24,Cariri,CARIRI,Penaforte,PENAFORTE
2310704,LOTE 21,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Pentecoste,PENTECOSTE
2310803,LOTE 40,Vale do Jaguaribe,VALE DO JAGUARIBE,Pereiro,PEREIRO
2310852,LOTE 15,Grande Fortaleza,GRANDE FORTALEZA,Pindoretama,PINDORETAMA
2310902,LOTE 31,Sertão Central,SERTÃO CENTRAL,Piquet Carneiro,PIQUET CARNEIRO
2310951,LOTE 34,Sertão de Sobral,SERTÃO DE SOBRAL,Pires Ferreira,PIRES FERREIRA
2311009,LOTE 37,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Poranga,PORANGA
2311108,LOTE 24,Cariri,CARIRI,Porteiras,PORTEIRAS
2311207,LOTE 25,Cariri,CARIRI,Potengi,POTENGI
2311231,LOTE 40,Vale do Jaguaribe,VALE DO JAGUARIBE,Potiretama,POTIRETAMA
2311264,LOTE 38,Sertão dos Inhamuns,SERTÃO DOS INHAMUNS,Quiterianópolis,QUITERIANÓPOLIS
2311306,LOTE 30,Sertão Central,SERTÃO CENTRAL,Quixadá,QUIXADÁ
2311355,LOTE 26,Centro Sul,CENTRO SUL,Quixelô,QUIXELÔ
2311405,LOTE 30,Sertão Central,SERTÃO CENTRAL,Quixeramobim,QUIXERAMOBIM
2311504,LOTE 39,Vale do Jaguaribe,VALE DO JAGUARIBE,Quixeré,QUIXERÉ
2311603,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Redenção,REDENÇÃO
2311702,LOTE 34,Sertão de Sobral,SERTÃO DE SOBRAL,Reriutaba,RERIUTABA
2311801,LOTE 39,Vale do Jaguaribe,VALE DO JAGUARIBE,Russas,RUSSAS
2311900,LOTE 27,Centro Sul,CENTRO SUL,Saboeiro,SABOEIRO
2311959,LOTE 25,Cariri,CARIRI,Salitre,SALITRE
2312205,LOTE 37,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Santa Quitéria,SANTA QUITÉRIA
