cod_ibge,regiao_plan,lote,nome_municipio,mun_upp,qtd_benef,qtd_cozinhas
2303402,SERRA DA IBIAPABA,Lote 29,Carnaubal,CARNAUBAL,200,2
2303501,GRANDE FORTALEZA,Lote 15,Cascavel,CASCAVEL,999,10
2303600,CENTRO SUL,Lote 26,Catarina,CATARINA,200,2
2303659,SERTÃO DOS CRATEÚS,Lote 37,Catunda,CATUNDA,264,3
2303709,GRANDE FORTALEZA,Lote 12,Caucaia,CAUCAIA,5499,55
2303808,CENTRO SUL,Lote 27,Cedro,CEDRO,300,3
2303907,LITORAL NORTE,Lote 18,Chaval,CHAVAL,100,1
2303931,SERTÃO CENTRAL,Lote 30,Choró,CHORÓ,493,5
2303956,GRANDE FORTALEZA,Lote 15,Chorozinho,CHOROZINHO,600,6
2304004,SERTÃO DE SOBRAL,Lote 34,Coreaú,COREAÚ,100,1
2304103,SERTÃO DOS CRATEÚS,Lote 36,Crateús,CRATEÚS,1000,10
2304202,CARIRI,Lote 23,Crato,CRATO,2100,21
2304236,SERRA DA IBIAPABA,Lote 29,Croatá,CROATÁ,293,3
2304251,LITORAL NORTE,Lote 19,Cruz,CRUZ,68,1
2304269,SERTÃO CENTRAL,Lote 31,Deputado Irapuan Pinheiro,DEPUTADO IRAPUAN PINHEIRO,199,2
2304277,VALE DO JAGUARIBE,Lote 40,Ereré,ERERÉ,200,2
2304285,GRANDE FORTALEZA,Lote 15,Eusébio,EUSÉBIO,498,5
2304301,CARIRI,Lote 22,Farias Brito,FARIAS BRITO,800,8
2304350,SERTÃO DE SOBRAL,Lote 33,Forquilha,FORQUILHA,700,7
2304400,GRANDE FORTALEZA,Lote 1,Fortaleza,FORTALEZA,2602,27
2304400,GRANDE FORTALEZA,Lote 10,Fortaleza,FORTALEZA,3035,32
2304400,GRANDE FORTALEZA,Lote 11,Fortaleza,FORTALEZA,3685,37
2304400,GRANDE FORTALEZA,Lote 2,Fortaleza,FORTALEZA,3890,39
2304400,GRANDE FORTALEZA,Lote 3,Fortaleza,FORTALEZA,3200,32
2304400,GRANDE FORTALEZA,Lote 4,Fortaleza,FORTALEZA,2613,27
2304400,GRANDE FORTALEZA,Lote 5,Fortaleza,FORTALEZA,3600,36
2304400,GRANDE FORTALEZA,Lote 6,Fortaleza,FORTALEZA,3283,34
2304400,GRANDE FORTALEZA,Lote 7,Fortaleza,FORTALEZA,3549,36
2304400,GRANDE FORTALEZA,Lote 8,Fortaleza,FORTALEZA,3779,38
2304400,GRANDE FORTALEZA,Lote 9,Fortaleza,FORTALEZA,3580,35
2304459,LITORAL LESTE,Lote 17,Fortim,FORTIM,200,2
2304509,SERTÃO DE SOBRAL,Lote 34,Frecheirinha,FRECHEIRINHA,100,1
2304608,LITORAL OESTE / VALE DO CURU,Lote 21,General Sampaio,GENERAL SAMPAIO,185,2
2304657,SERTÃO DE SOBRAL,Lote 34,Graça,GRAÇA,100,1
2304707,LITORAL NORTE,Lote 18,Granja,GRANJA,500,5
2304806,CARIRI,Lote 22,Granjeiro,GRANJEIRO,300,3
2304905,SERTÃO DE SOBRAL,Lote 33,Groaíras,GROAÍRAS,500,5
2304954,GRANDE FORTALEZA,Lote 14,Guaiúba,GUAIÚBA,700,7
2305001,SERRA DA IBIAPABA,Lote 29,Guaraciaba do Norte,GUARACIABA DO NORTE,397,4
2305100,MACIÇO DE BATURITÉ,Lote 28,Guaramiranga,GUARAMIRANGA,100,1
2305209,SERTÃO DOS CRATEÚS,Lote 37,Hidrolândia,HIDROLÂNDIA,300,3
2305233,GRANDE FORTALEZA,Lote 15,Horizonte,HORIZONTE,967,10
2305266,SERTÃO CENTRAL,Lote 30,Ibaretama,IBARETAMA,301,3
2305308,SERRA DA IBIAPABA,Lote 29,Ibiapina,IBIAPINA,500,5
2305332,SERTÃO CENTRAL,Lote 30,Ibicuitinga,IBICUITINGA,299,3
2305357,LITORAL LESTE,Lote 17,Icapuí,ICAPUÍ,200,2
2305407,CENTRO SUL,Lote 27,Icó,ICÓ,300,3
2305506,CENTRO SUL,Lote 26,Iguatu,IGUATU,1200,12
2305605,SERTÃO DOS CRATEÚS,Lote 36,Independência,INDEPENDÊNCIA,300,3
2305654,SERTÃO DOS CRATEÚS,Lote 36,Ipaporanga,IPAPORANGA,200,2
2305704,CENTRO SUL,Lote 27,Ipaumirim,IPAUMIRIM,300,3
2305803,SERRA DA IBIAPABA,Lote 29,Ipu,IPU,400,4
2305902,SERTÃO DOS CRATEÚS,Lote 37,Ipueiras,IPUEIRAS,300,3
2306009,VALE DO JAGUARIBE,Lote 40,Iracema,IRACEMA,400,4
2306108,LITORAL OESTE / VALE DO CURU,Lote 21,Irauçuba,IRAUÇUBA,421,5
2306207,LITORAL LESTE,Lote 17,Itaiçaba,ITAIÇABA,200,2
2306256,GRANDE FORTALEZA,Lote 14,Itaitinga,ITAITINGA,500,5
2306306,LITORAL OESTE / VALE DO CURU,Lote 21,Itapajé,ITAPAJÉ,320,4
2306405,LITORAL OESTE / VALE DO CURU,Lote 20,Itapipoca,ITAPIPOCA,2512,26
2306504,MACIÇO DE BATURITÉ,Lote 28,Itapiúna,ITAPIÚNA,200,2
2306553,LITORAL NORTE,Lote 19,Itarema,ITAREMA,500,5
2306603,SERTÃO DE CANINDÉ,Lote 32,Itatira,ITATIRA,500,5
2306702,VALE DO JAGUARIBE,Lote 40,Jaguaretama,JAGUARETAMA,300,3
2306801,VALE DO JAGUARIBE,Lote 40,Jaguaribara,JAGUARIBARA,85,1
2306900,VALE DO JAGUARIBE,Lote 40,Jaguaribe,JAGUARIBE,300,3
2307007,LITORAL LESTE,Lote 17,Jaguaruana,JAGUARUANA,500,5
2307106,CARIRI,Lote 23,Jardim,JARDIM,200,2
2307205,CARIRI,Lote 24,Jati,JATI,300,3
2307254,LITORAL NORTE,Lote 19,Jijoca de Jericoacoara,JIJOCA DE JERICOACOARA,300,3
2307304,CARIRI,Lote 22,Juazeiro do Norte,JUAZEIRO DO NORTE,2401,24
2307403,CENTRO SUL,Lote 27,Jucás,JUCÁS,400,4
2307502,CARIRI,Lote 24,Lavras da Mangabeira,LAVRAS DA MANGABEIRA,413,5
2307601,VALE DO JAGUARIBE,Lote 39,Limoeiro do Norte,LIMOEIRO DO NORTE,541,4
2307635,SERTÃO DE CANINDÉ,Lote 32,Madalena,MADALENA,700,7
2307650,GRANDE FORTALEZA,Lote 13,Maracanaú,MARACANAÚ,2799,28
2307650,GRANDE FORTALEZA,Lote 8,Maracanaú,MARACANAÚ,100,1
2307700,GRANDE FORTALEZA,Lote 14,Maranguape,MARANGUAPE,1365,14
2307809,LITORAL NORTE,Lote 19,Marco,MARCO,100,1
2307908,LITORAL NORTE,Lote 18,Martinópole,MARTINÓPOLE,100,1
2308005,SERTÃO DE SOBRAL,Lote 35,Massapê,MASSAPÊ,700,7
2308104,CARIRI,Lote 24,Mauriti,MAURITI,687,8
2308203,SERTÃO DE SOBRAL,Lote 35,Meruoca,MERUOCA,495,5
2308302,CARIRI,Lote 24,Milagres,MILAGRES,271,3
2308351,SERTÃO CENTRAL,Lote 31,Milhã,MILHÃ,300,3
